,step,seed0,seed1
0,0,-0.915169762353558,-1.1458663763624204
1,1,-0.9438923137653662,-1.1861173120142758
2,2,-1.000300232417515,-1.2178646820273733
3,3,-1.0486295402700685,-1.2860316889009362
4,4,-1.0959805842556436,-1.3496944837787832
5,5,-1.1312809366132694,-1.435827318831931
6,6,-1.23990038611349,-1.4788787860785406
7,7,-1.2866291770592153,-1.5014865908713966
8,8,-1.3155163846612923,-1.5840172321076713
9,9,-1.363080392070067,-1.6671506829616103
10,10,-1.420274343887497,-1.7287961005055679
11,11,-1.480449910933208,-1.8081997620850383
12,12,-1.5475241609695356,-1.8691007034783265
13,13,-1.6329300202823434,-1.9588815187393978
14,14,-1.6677184245070718,-2.026167406167185
15,15,-1.719056203128695,-2.0877121133914396
16,16,-1.8366333357864804,-2.234959574182147
17,17,-1.8854430665711919,-2.316990348899497
18,18,-1.9961343885059413,-2.4150797099710806
19,19,-2.088014553587194,-2.505122279257957
20,20,-2.1246670072603098,-2.661150654795717
21,21,-2.1917939647319855,-2.7941478428277478
22,22,-2.376091951994641,-2.988683984538984
23,23,-2.449428010976968,-3.059151374165896
24,24,-2.5205123006466392,-3.2716898472284863
25,25,-2.5554659602595473,-3.364835121712388
26,26,-2.7929038399898753,-3.570971179630977
27,27,-2.926097322879473,-3.6274572351467627
28,28,-2.93582792632598,-3.7929942219683546
29,29,-3.103350856328494,-4.038699085272053
30,30,-3.223449774282392,-4.0830391301740905
31,31,-3.433336970196504,-4.315869354695958
32,32,-3.5520307452529467,-4.22856357103364
33,33,-3.616424976021336,-4.357553786310678
34,34,-3.7553140843065163,-4.330249270187041
35,35,-3.7671554816996227,-4.296759371913331
36,36,-3.9174582780854097,-4.287028526847704
37,37,-4.028313422705245,-4.361606617417186
38,38,-3.951446085104737,-4.308439329748214
39,39,-4.083384889333291,-4.252907082472949
40,40,-4.21879433256513,-4.328739659864712
41,41,-4.132761194044452,-4.295212967421806
42,42,-4.190258095720874,-4.3422609820612115
43,43,-4.219721661133044,-4.250179474772948
44,44,-4.181903747164424,-4.371673507363462
45,45,-4.119483676521538,-4.480147698740464
46,46,-4.078784083647135,-4.552162509745804
47,47,-4.1853251659737625,-4.704425922992047
48,48,-4.098777651473605,-4.7276260056283546
49,49,-4.200921596597399,-4.809783547779317
50,50,-4.121390009891934,-4.871847370683341
51,51,-4.265181656692035,-4.841879553631235
52,52,-4.263662632377484,-4.905111278976289
53,53,-4.315135373662245,-5.067169609176325
54,54,-4.448073123461751,-5.063004414798287
55,55,-4.443138771781646,-5.181101671979823
56,56,-4.367049462234048,-5.13629962530494
57,57,-4.428196085692856,-5.124593404319639
58,58,-4.481819495987739,-5.2390510666999175
59,59,-4.580837369652502,-5.120371440617688
60,60,-4.576920645056761,-5.142654839525102
61,61,-4.566478766110353,-5.076057082941426
62,62,-4.547824372140574,-5.1466158037177046
63,63,-4.655705876767095,-5.315442343154001
64,64,-4.672610751931253,-5.1722940815989515
65,65,-4.651418605750966,-5.192432709353685
66,66,-4.748600330166065,-5.178107877537138
67,67,-4.895428701281315,-5.1124842348031
68,68,-4.909984500629584,-5.171965831127636
69,69,-4.886119615847361,-5.2428710853105
70,70,-4.930534063173167,-5.244055994348335
71,71,-4.8217398162526415,-5.372149297513616
72,72,-4.798337783456201,-5.327944462500756
73,73,-4.830508093099105,-5.281045355863194
74,74,-4.973355371377003,-5.40000032809438
75,75,-5.046081148492315,-5.332656283313201
76,76,-5.019347053821267,-5.357853387487923
77,77,-4.980772679268152,-5.423074539100527
78,78,-5.060535146917206,-5.408060339645975
79,79,-5.134336289807775,-5.346394610501257
80,80,-5.028032787881014,-5.357548342435453
81,81,-5.094091349931832,-5.507544261775337
82,82,-4.995240117339284,-5.307653816977175
83,83,-5.133113003173666,-5.386850575180715
84,84,-4.966445691052285,-5.351832248230614
85,85,-5.080777159944402,-5.351804566946229
86,86,-5.090937274615109,-5.528833718095288
87,87,-4.9346629552264885,-5.5647643745385995
88,88,-5.2305942077258845,-5.363299800234728
89,89,-5.128488283124792,-5.466660392414261
90,90,-5.28718451704916,-5.41400892220393
91,91,-5.154435961172306,-5.590556989616205
92,92,-5.164023215603136,-5.547067536814634
93,93,-5.156024061006292,-5.577707046780628
94,94,-5.097536242164237,-5.5482358769769355
95,95,-5.125954983929337,-5.2868997577560695
96,96,-5.214308112165317,-5.445307029347953
97,97,-5.096301062007884,-5.225562069721301
98,98,-5.205006983017119,-5.634943515655901
99,99,-5.2100628155854265,-5.408362281206378
100,100,-5.123735457109557,-5.245613948661918
101,101,-5.312279887437898,-5.470734080460117
102,102,-5.198766327511465,-5.437141531999466
103,103,-5.428570874659426,-5.46990005510273
104,104,-5.0126580798180385,-5.4344606258500665
105,105,-5.128579056688882,-5.62529325407973
106,106,-5.274398480605389,-5.445788231782898
107,107,-5.221121083226118,-5.60980258962602
108,108,-5.3776839432511485,-5.58766140218064
109,109,-5.219232369681372,-5.497631961013408
110,110,-5.184688609714534,-5.488598967000345
111,111,-5.334847937623645,-5.658991442892973
112,112,-5.29017296111132,-5.5152802360952835
113,113,-5.1919410845058325,-5.59487267899529
114,114,-5.427974642617623,-5.51407231655485
115,115,-5.385045310722483,-5.553804706707664
116,116,-5.337760858777611,-5.54762627650986
117,117,-5.371007008787982,-5.792053709365604
118,118,-5.376192304473639,-5.562319450901332
