,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-0.9262147802652123,-1.242129672062211,-0.9533954625119754,-1.2856502164752497,-2.0391537960607025,-0.9129938317888634,-0.9109239361916953,-0.9762313412890548,-1.4243520783724848,-1.2713650438979347,-1.1265805386654821,-1.563855670965869,-1.0936738529479473,-1.523570408986515,-1.32576147215409,-0.8105970747892268,-1.1577234220591033,-2.268978259688867,-1.1713378189650077,-2.037148815418037
1,1,-0.9676285854539083,-1.3290499725704945,-0.9851240536979119,-1.3700983207536286,-2.1098131410504695,-0.9720192030483399,-0.9681169433464316,-1.0301024450441987,-1.4811786081120057,-1.2964668419630945,-1.1862845607000698,-1.6230280148675411,-1.1426797236178512,-1.5697674416557352,-1.3781865770188741,-0.8633772119671729,-1.2124081041908208,-2.3236591590222315,-1.2183766905071152,-2.082136919907637
2,2,-1.0252810789490485,-1.3910808123960103,-1.0268103535809916,-1.4227627223375392,-2.2274093609710404,-0.9981394069982572,-0.9911084289581915,-1.0832210046613664,-1.524345610855667,-1.3383846381353683,-1.229188069420066,-1.7206999919559274,-1.1701316004955788,-1.5793496130961635,-1.426659623333922,-0.9044740704184078,-1.2715614569682847,-2.4041208599458357,-1.2625432809298736,-2.1956630517716285
3,3,-1.050147965248404,-1.4355434544307515,-1.0660461312826326,-1.4557049220490177,-2.285173256863812,-1.075861390428745,-1.0418263039699767,-1.1358467463169115,-1.592497482176863,-1.4010181154564239,-1.2620272316944352,-1.7684934377093429,-1.226878009699979,-1.6431779853681256,-1.4672646602871213,-0.98172997196146,-1.321929031031253,-2.5408877225554325,-1.3179156500699354,-2.279017863799236
4,4,-1.1213580302487642,-1.525682944923525,-1.0832352883916265,-1.5100892685623373,-2.3747808957023047,-1.093226724813333,-1.0895514315242452,-1.1576315283227308,-1.700407357302207,-1.444862728252242,-1.3475559845854832,-1.9117857939272025,-1.2561929085238956,-1.7094927750344784,-1.5466497654740519,-1.0298494848837063,-1.3710517485924254,-2.57461964442725,-1.3765987475260333,-2.3398297224161153
5,5,-1.153158286625268,-1.6200152610069884,-1.123070476927864,-1.620445548113519,-2.495523913913388,-1.1587289623616241,-1.1465844892751527,-1.2346739766639598,-1.761583011219246,-1.4939374128154583,-1.3721260113181717,-1.9906867807786222,-1.2840181010517693,-1.7429177586641174,-1.5696729988262148,-1.0993994971549954,-1.4251889634621355,-2.6590499170729442,-1.454764860568758,-2.481287986708285
6,6,-1.1988106630327062,-1.699122053850211,-1.1820739950153225,-1.6688919668962312,-2.5695537693575967,-1.207679757224287,-1.2017364772152013,-1.270768321126426,-1.8730979349611034,-1.539907676770589,-1.4717002919916011,-2.0903221612651626,-1.3193255492163813,-1.8027441164028981,-1.6322222540333717,-1.1793417145402103,-1.469298834487396,-2.7587187385899132,-1.5007746781694609,-2.5578705672242523
7,7,-1.2659378289957934,-1.7616499248904849,-1.1859850683020394,-1.7587401285859157,-2.6746337325107556,-1.214917979695047,-1.2351640448919698,-1.3397083223785717,-1.9342513083738002,-1.6060973797964744,-1.5360846080611967,-2.212245953002614,-1.3753910895897015,-1.8611273907755623,-1.7050828758898415,-1.2472039279487401,-1.528807088637315,-2.8234963075231474,-1.5764798738091488,-2.678951048486514
8,8,-1.2943244976777466,-1.8609023375008507,-1.2124068963298726,-1.839778900149259,-2.8001051499683802,-1.2835708687754175,-1.3099141328496275,-1.3675390270318843,-1.991801287061468,-1.6460014175139137,-1.5466952783839452,-2.254680771736707,-1.4350458554079648,-1.8972016124525772,-1.732440837552378,-1.328458059957712,-1.5781399329616024,-2.9143440049367335,-1.6581051376661424,-2.7532503875873067
9,9,-1.3534702105642766,-1.9248812037733076,-1.2783117694249209,-1.9299477700640244,-2.954794355640699,-1.3232188219573688,-1.33999056364115,-1.4165916879208884,-2.106582527533486,-1.715892073166686,-1.5986865795140783,-2.3823794936787412,-1.5004147303502888,-1.9809042111212898,-1.8385139176112963,-1.3749287257955267,-1.653343788063237,-3.0081528245264395,-1.7093650583987,-2.9179316094140613
