,step,seed0,seed1
0,0,-1.1066313271163137,-1.008843416310864
1,1,-1.1538493899214548,-1.056667076029109
2,2,-1.1960517209207737,-1.0829190908355555
3,3,-1.2213172508312442,-1.1208180319968788
4,4,-1.2661128981669219,-1.190666080700038
5,5,-1.3252395986349126,-1.25972433609961
6,6,-1.4039995521589488,-1.2938037562959694
7,7,-1.4245821774734837,-1.3506851415159478
8,8,-1.4705319500732776,-1.4089855296890195
9,9,-1.5368505686572114,-1.471573335339996
10,10,-1.5848809992615456,-1.5301113473669952
11,11,-1.6688040352752367,-1.5916338004701946
12,12,-1.7130040875991612,-1.6730041060627177
13,13,-1.8078108997013127,-1.748900740862427
14,14,-1.8524854727173101,-1.8051376066786937
15,15,-1.9268307149117487,-1.901673575652578
16,16,-2.0177161030384707,-2.0059126453142517
17,17,-2.0925459603195544,-2.078830575229543
18,18,-2.216735370125486,-2.1960835607885647
19,19,-2.282852461290338,-2.318955069729699
20,20,-2.389619826899133,-2.4451998471930034
21,21,-2.498616410621311,-2.5644068170344503
22,22,-2.634953449813497,-2.7345220511484527
23,23,-2.7566939891937183,-2.9015463918765145
24,24,-2.9256769043780766,-3.0872617743062474
25,25,-3.005812824278739,-3.285925163374332
26,26,-3.1823222081101323,-3.5486327176784163
27,27,-3.3993614276479804,-3.7203806276622897
28,28,-3.577695475711152,-3.932402472648656
29,29,-3.85430886862087,-4.296746871110407
30,30,-4.11650477725554,-4.639193676922158
31,31,-4.418264846366501,-5.167629799639751
32,32,-4.672040666930465,-5.411431175487074
33,33,-5.156622074228317,-6.034405087618801
34,34,-5.549117317182458,-6.144517626016412
35,35,-5.86970997934959,-6.029076679034006
36,36,-6.110986885164728,-5.909296906591737
37,37,-6.148607748027865,-5.627186319860897
38,38,-5.836555054813198,-5.376344196613494
39,39,-5.648784721956349,-5.1692109605832774
40,40,-5.414095445027828,-5.039028831129755
41,41,-5.135674781856684,-4.906295428268063
42,42,-5.099018098356844,-4.854791512904164
43,43,-4.937946178934194,-4.880740263577237
44,44,-4.8457777469223915,-4.787022818676079
45,45,-4.906226069345926,-4.897062517428863
46,46,-4.8609534487058745,-5.0435984142901535
47,47,-4.964902424259249,-5.023798474794741
48,48,-5.043073283061957,-5.146004787297044
49,49,-5.14946524927847,-5.305494498735667
50,50,-5.244839417321591,-5.411159488235809
51,51,-5.361134388173005,-5.458463127041596
52,52,-5.6301064460661285,-5.679134089137678
53,53,-5.723470970042088,-5.8562899190781215
54,54,-5.810839015922051,-6.023570044404722
55,55,-5.978260394566789,-6.037355846866617
56,56,-6.031830696529362,-6.097050937081772
57,57,-6.203409355044603,-6.206514749256699
58,58,-6.185689859070146,-6.105703214357106
59,59,-6.228349060623158,-6.323353223343035
60,60,-6.178437768390097,-6.2672531821899815
61,61,-6.198659820738321,-6.124936410654477
62,62,-6.004050448594368,-6.038070321310199
63,63,-6.177798973777445,-6.107247244842289
64,64,-6.027290178684427,-6.107863801108362
65,65,-5.970876697803697,-6.022990290276935
66,66,-5.99811440258976,-6.015787543466783
67,67,-5.886240959014764,-5.923407136217811
68,68,-6.069829553009383,-5.934161544144265
69,69,-5.9878694191234105,-6.1042904717199775
70,70,-6.116453949890586,-5.960819101097253
71,71,-6.011778473579188,-6.029457913644005
72,72,-6.0681931924905985,-6.097533859180234
73,73,-6.036799872394183,-6.053658562942623
74,74,-6.115882769242234,-6.123060828809357
75,75,-6.207674740499655,-6.0183451589416785
76,76,-6.073303083065512,-6.156939317232889
77,77,-6.408279026868991,-6.12578198262278
78,78,-6.146363927064779,-6.098096936067705
79,79,-6.131153018944849,-6.286138380248805
80,80,-6.033186761961166,-6.283284353229686
81,81,-6.132693047820168,-6.159659534678589
82,82,-6.217370319365326,-6.328954649324014
83,83,-6.253507935364475,-6.330659315618173
84,84,-6.121931080342,-6.145475094648586
85,85,-6.3877188918047345,-6.150710573782541
86,86,-6.2040895150466255,-6.270442038200245
87,87,-6.200510535052178,-6.124738508719037
88,88,-5.964410827061966,-6.147994265811809
89,89,-6.176436449958516,-6.247596648833696
90,90,-6.179576553487941,-6.2024385369137836
91,91,-6.146246041999988,-6.111806314802623
92,92,-6.288303493279654,-6.162343047314597
