,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.8544479052853848,-3.59556265079039,-2.5922491001935972,-1.6349889866611156,-0.983856930414393,-1.2232070969788467,-1.443055641486663,-1.4551805041552552,-2.2507667580777664,-1.4345647098587826,-1.1968548244288866,-2.196224452502937,-1.815704488404909,-1.410145981291226,-1.451834721725522,-1.4280406623258401,-1.8274933341026378,-1.7070391829735787,-1.862673404797407,-1.335219902745912
1,1,-1.9235475687072512,-3.8199502662530502,-2.7312639162224284,-1.7125805743705218,-0.9995567425458444,-1.2751451566858205,-1.5172259687631486,-1.5188024266492,-2.3862836403374565,-1.4874329307441234,-1.227231832379187,-2.270693345071649,-1.8553293500528054,-1.4507653510458898,-1.5293446354658822,-1.5174250772439493,-1.8981258981665168,-1.7208525263558645,-1.9515040958141148,-1.3665252045683303
2,2,-1.9760404646046577,-4.018506076029885,-2.8719797184954357,-1.7779384278124204,-1.0618474530076811,-1.3262682013382219,-1.549910655900388,-1.5715767431329255,-2.501363024482809,-1.517805138001395,-1.3028493362092888,-2.351749659875568,-1.9319869305703394,-1.5186303138078137,-1.633112650824242,-1.5703559877485003,-1.9597132285730234,-1.7882673456097038,-2.0488157132476545,-1.4107717223322012
3,3,-2.063230664543057,-4.30679399749002,-3.0245639452894983,-1.85962338507646,-1.0924144314997544,-1.3760466087787389,-1.5838128373733278,-1.6650367234785923,-2.5840670281449287,-1.5964533907626526,-1.345768604955488,-2.4515478328104883,-1.9894669918486805,-1.6011826912980434,-1.7530835911533664,-1.6442417732691013,-2.052207921866771,-1.819992144552138,-2.174752490345096,-1.4708590394661323
4,4,-2.1447847519251093,-4.6133598984939965,-3.2349376131892646,-1.9345680383734671,-1.1374491006238574,-1.4254350025602767,-1.6635318486962072,-1.6833302877404306,-2.7213481524994023,-1.6529083342320232,-1.3880556151451677,-2.544781452089463,-2.075697892978022,-1.6624437071517946,-1.8527134768125941,-1.7560792558159684,-2.0791415399494846,-1.8698291898762092,-2.3150940798150885,-1.52376291223065
5,5,-2.2302843409439697,-5.049997901648171,-3.4073274203693105,-2.0230119040286616,-1.1733008936721285,-1.4851673605020008,-1.719694042668068,-1.7489270050386883,-2.837000242649686,-1.7033010749240762,-1.438269645736426,-2.680876968506654,-2.1711249103752657,-1.7052617683561602,-2.0000009667338676,-1.8092156790006235,-2.1391169485209973,-1.8974771707857514,-2.432857531935285,-1.5693396245343645
6,6,-2.310770599501112,-5.322002510358811,-3.604243569940566,-2.093417448486769,-1.2300651597653072,-1.5215729981508237,-1.7804998102940368,-1.807771016482929,-2.9826065815356055,-1.7978306577553218,-1.4813585053489071,-2.728096017892747,-2.273214470409864,-1.793919354878848,-2.128857761027559,-1.9317396600085859,-2.253309572760665,-1.9554614108178794,-2.561931891193106,-1.6709181567141758
7,7,-2.417648003831394,-5.693813798206199,-3.892006109529106,-2.180985447415115,-1.2628767465141082,-1.568988572419861,-1.846616375098421,-1.8619790585299891,-3.1019003890333754,-1.8223986807945347,-1.5556349697344898,-2.8913615556043766,-2.3678376574926334,-1.84528455355929,-2.290163363598126,-2.020484368753264,-2.263467001209707,-1.984698207386279,-2.7277985025222016,-1.6996545255524758
8,8,-2.5044056343253778,-6.21729381973916,-4.19428736410061,-2.292885141484364,-1.2857118222265034,-1.624250214486644,-1.9060258332083135,-1.9233126600438504,-3.317729187994423,-1.886168519278362,-1.5971633538601027,-2.968363046211297,-2.4386250986023206,-1.9508953971994898,-2.422691743030621,-2.1121567387950084,-2.3693009955984126,-2.0219213814848453,-2.880836187102187,-1.768419012590169
9,9,-2.6332294730274217,-6.41614841357169,-4.512641583883292,-2.4315036920237185,-1.3246592128085777,-1.6791946282700048,-1.9968634812081478,-1.974887650588466,-3.420446073875316,-1.9564154550400406,-1.649484513710703,-3.1225944213675163,-2.576016249672569,-2.0005581952494365,-2.5816137973105895,-2.2159244086379255,-2.4333518815928747,-2.0725584498299074,-3.081694356296028,-1.837811796497087
