,step,seed0,seed1
0,0,-1.0293762101690658,-1.0190662445571372
1,1,-1.0598881986433204,-1.065193228680479
2,2,-1.1070831439323376,-1.0981101693220188
3,3,-1.1324288406932836,-1.1324770109402416
4,4,-1.1638961764248317,-1.191681955681417
5,5,-1.2150993387341151,-1.2361281735217364
6,6,-1.2941801111921656,-1.2809124891951902
7,7,-1.309042196319019,-1.313496137110472
8,8,-1.3497459476102276,-1.3917150970942276
9,9,-1.4101367450976565,-1.420478867161679
10,10,-1.459440460633459,-1.482746820724773
11,11,-1.51138987152866,-1.5250443809577394
12,12,-1.5673957644527563,-1.6237303272401085
13,13,-1.625534526447155,-1.6618916545606226
14,14,-1.6774103178156339,-1.7043554982921985
15,15,-1.7355963432874142,-1.782765935907294
16,16,-1.8094226520499463,-1.8890420832904133
17,17,-1.8633124053284091,-1.9855752645463707
18,18,-1.9480221354007525,-2.055997155978952
19,19,-2.0075314628681253,-2.1233198775936017
20,20,-2.1259130214348807,-2.2340204141855953
21,21,-2.1919944372660116,-2.3364483249289782
22,22,-2.3558976263905125,-2.514764794676452
23,23,-2.4164051738911416,-2.6190159348485134
24,24,-2.477452708693992,-2.7751041122299425
25,25,-2.5712807770052004,-2.9542774861063483
26,26,-2.741175314518598,-3.1025679073845076
27,27,-2.8770150148654867,-3.3038906187777597
28,28,-2.98862095436717,-3.4428324356271838
29,29,-3.147068055009852,-3.6980921252098944
30,30,-3.306119067129429,-3.9110742246972694
31,31,-3.5039265094649554,-4.364203410127795
32,32,-3.633736517660637,-4.31478163441492
33,33,-3.7726027931363086,-4.343077069320647
34,34,-3.857799725309533,-4.359531506857674
35,35,-4.017378664006294,-4.313043303071405
36,36,-4.207928669170334,-4.390096011230381
37,37,-4.206517291767461,-4.165222068764388
38,38,-4.224085712652022,-4.157287796240931
39,39,-4.255232968263705,-4.0409290014727395
40,40,-4.265101411025516,-3.982060075618793
41,41,-4.154243965953927,-4.018298731955812
42,42,-4.140250437582418,-3.952511957679412
43,43,-4.106075977343399,-3.9877517261120636
44,44,-4.033701147874732,-4.181617787917106
45,45,-4.111036329838005,-4.190137477157451
46,46,-3.9955919837653298,-4.161551537199003
47,47,-4.071122325833189,-4.3043720850120595
48,48,-3.9847723068088334,-4.368136611197734
49,49,-4.095926108144077,-4.425007441443787
50,50,-4.18520277880708,-4.544650583401829
51,51,-4.084598961169672,-4.506700029907173
52,52,-4.1274554791422,-4.569795706536381
53,53,-4.22425428421476,-4.624951121243295
54,54,-4.3206930009119535,-4.74289802986141
55,55,-4.356535660590036,-4.7331774928861305
56,56,-4.308085679624739,-4.7168473316056305
57,57,-4.396253559208218,-4.7600472363105615
58,58,-4.386685455384411,-4.635245292043539
59,59,-4.479194691407365,-4.745370076257283
60,60,-4.477215211961927,-4.700961666597551
61,61,-4.598470642438403,-4.578414259428247
62,62,-4.448376086126962,-4.766802435655664
63,63,-4.576081676668554,-4.834041253826463
64,64,-4.506957262859312,-4.781786796539603
65,65,-4.509871315431807,-4.787295369978077
66,66,-4.543041398762899,-4.892578069949394
67,67,-4.639617329909815,-4.829079138274892
68,68,-4.698148367671739,-4.787077315113612
69,69,-4.62052158294353,-4.815321765958974
70,70,-4.674178256310712,-4.8865772225255375
71,71,-4.653197805050939,-4.84212125032227
72,72,-4.637143380555139,-5.054690226650532
73,73,-4.773583682903371,-5.080085869441404
74,74,-4.730281964242842,-5.1112593418990135
75,75,-4.7770906146733205,-4.9890035371963135
76,76,-4.8324918275381075,-5.016179938126532
77,77,-4.928685449333536,-4.959542043806524
78,78,-4.879951469745676,-5.003830469472518
79,79,-4.801404820952578,-4.930025208587779
80,80,-4.787572708369631,-5.02571036993475
81,81,-4.901440581994265,-5.156405762821588
82,82,-4.888531262728617,-5.12188629147839
83,83,-5.012591240347604,-5.115415959544412
84,84,-4.970772074350376,-5.131997667236123
85,85,-4.983207360160816,-5.155876526059117
86,86,-4.920055805592118,-5.131891452198083
87,87,-5.067083015749874,-5.19094959338919
88,88,-5.083637264056479,-5.2631807777452675
89,89,-5.048972706506661,-5.1839763256734175
90,90,-5.185089646451545,-5.36682438836428
91,91,-5.162656036866533,-5.2328835845599695
92,92,-5.240647190213222,-5.3358898264002015
93,93,-5.1313753751076,-5.353803027625864
94,94,-5.209224921717672,-5.413435465436741
95,95,-5.1122707254447235,-5.228740616184244
96,96,-5.176169785662031,-5.460481906152835
97,97,-5.245829650342869,-5.437215479718353
98,98,-5.2422722347876185,-5.36060721238731
99,99,-5.362500249350334,-5.503141787756704
100,100,-5.310082548005003,-5.281538326991228
101,101,-5.293851359456697,-5.451702839564558
102,102,-5.406082564842427,-5.483570574959367
103,103,-5.35941250497365,-5.4547787609804965
104,104,-5.399487300025166,-5.470353328484677
105,105,-5.522304578521,-5.578510088656673
106,106,-5.264178425621649,-5.498669361532807
107,107,-5.5665700699203375,-5.4390949228900265
108,108,-5.395897442874066,-5.561262864419444
109,109,-5.518925550577337,-5.469853211207158
110,110,-5.54447797177231,-5.497407356502853
111,111,-5.639952791931029,-5.451199108953338
112,112,-5.554026249202156,-5.716174755144045
113,113,-5.515908038014027,-5.62880110319661
114,114,-5.611843368525623,-5.675129372877207
115,115,-5.62836015440525,-5.567439011185509
116,116,-5.570658631503944,-5.66937815594657
117,117,-5.740051986461115,-5.66556985221448
118,118,-5.59151973375714,-5.748754912835371
119,119,-5.68198966749022,-5.7118716460945995
120,120,-5.698110802366141,-5.7542134731585115
121,121,-5.735291902111305,-5.701945208006682
122,122,-5.7012692893105665,-5.741782533386817
123,123,-5.657464452358037,-5.564247608135271
124,124,-5.741317800757631,-5.817859575249282
125,125,-5.74530126819206,-5.790930836635996
126,126,-5.870609734331843,-5.739660544848498
127,127,-5.910077275335323,-5.831279178609272
128,128,-5.827836087209976,-5.6810888352839415
129,129,-5.782875667348361,-5.731209870638037
130,130,-5.894774947345552,-5.813522395283132
131,131,-5.71046332070823,-5.72180231274976
132,132,-5.919247400665638,-5.742694160345152
133,133,-6.028394204028093,-5.885582844151661
134,134,-5.886180935140156,-5.823584681608214
135,135,-5.840152618402503,-5.779511044182265
136,136,-6.005982244204752,-5.805971099043596
137,137,-5.7823313233297124,-6.002593716383435
138,138,-5.87036368094818,-5.908888719239458
139,139,-5.872558537444501,-5.973751182308039
140,140,-5.949348128229301,-5.8584821967823055
141,141,-5.846934363787572,-5.827872243079598
142,142,-5.9368410213150264,-5.943566539384347
143,143,-5.902467677362846,-5.79052081969511
144,144,-5.981824294126018,-5.963999292002924
145,145,-5.895856673464321,-6.090798351447104
146,146,-5.9566342050981165,-5.8570243307028305
147,147,-5.923487655362056,-6.026399955890395
148,148,-5.935783247942917,-5.92426376339802
149,149,-5.8980312514501625,-5.966511261621433
150,150,-5.9612452177942234,-5.930122657393525
151,151,-6.051496264274729,-5.921322904545046
152,152,-5.991488563582573,-5.9629318265630085
153,153,-5.941141434971409,-5.862791026849061
154,154,-6.077267644056763,-6.000334368895974
155,155,-5.869916581146653,-5.903779668367934
156,156,-6.018859294606239,-5.910731311194562
157,157,-6.12265445586167,-5.943869408685518
158,158,-5.936943175227631,-5.969447829039617
159,159,-6.062012070494383,-5.849936344520632
160,160,-6.035004497604039,-5.88663892335292
161,161,-5.82478258175718,-5.991521787767975
162,162,-6.016581826475997,-6.004330630734848
163,163,-5.997216100455469,-5.996695576491034
164,164,-6.1443336819165815,-6.165003438797943
165,165,-5.89577772120605,-6.048244767005528
166,166,-6.015855762084087,-5.829079577577608
167,167,-5.942316059900991,-6.036121699880652
168,168,-6.115711718956102,-6.087690937636938
169,169,-6.1678936991204605,-6.048783561085144
170,170,-5.911535829845833,-5.9760676869787925
171,171,-5.888166821925527,-6.055520956592607
172,172,-6.017589316254321,-6.103803519213119
173,173,-6.028482793341459,-5.989833643495063
174,174,-6.173109051406276,-6.092678455486257
175,175,-5.9837144737408,-6.136958274504599
176,176,-6.037894617294324,-6.113518206253549
177,177,-5.978485432981403,-5.986888417029642
178,178,-6.192046786242007,-6.110673381784803
179,179,-6.111905353164546,-5.972921303721358
180,180,-6.102549616531899,-6.006929515416448
181,181,-6.036022391345063,-6.1103069431421995
182,182,-5.950478089614926,-6.0434792826441734
183,183,-5.937028210988464,-6.142516307793021
184,184,-6.09146322344761,-6.110654119627793
185,185,-6.010856878569799,-6.119580648683454
186,186,-5.971505656640266,-6.170399194352864
187,187,-6.108747976805386,-6.024383715218423
188,188,-6.110351638023552,-6.1044169573851885
189,189,-5.952447326848466,-6.093879697765119
190,190,-5.995648588410416,-6.079904201509088
191,191,-6.056642810216394,-6.130603856740389
192,192,-6.107336232377139,-6.1811898776332415
193,193,-6.006552521674313,-6.094208437910194
194,194,-6.09642547018572,-6.100593292397371
195,195,-6.0883197008709375,-6.040094465580059
196,196,-6.123405412908858,-6.1568192895007385
197,197,-6.059311128045662,-6.04069837625132
198,198,-6.195905680489171,-6.237765851720021
199,199,-5.9847035761449465,-6.152957998554066
200,200,-5.9924584972417545,-6.092911365213629
