,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.2226280576883695,-1.686509258662098,-1.0241265570632823,-1.089082885647496,-1.6837300486176499,-1.0783589649198493,-1.6867083145011057,-1.0945356124663286,-1.0002037379087325,-1.6595075399928179,-1.1579062100507727,-2.0589921300419594,-1.6694132397160102,-1.1451812726559416,-1.6295791769095476,-1.6185447815429697,-1.312056888300019,-1.630510281065957,-1.3665703715510369,-0.9312560499895561
1,1,-1.2761467250796819,-1.7853514764575833,-1.0558145624261928,-1.1533832245423137,-1.759275539018284,-1.1110868006150345,-1.7795312136137749,-1.113772098479456,-1.059043543546788,-1.700182356250638,-1.1763113531663956,-2.150422896249767,-1.7083209601973537,-1.1969496348093553,-1.6906382226069452,-1.6793018025043804,-1.3627791997867835,-1.7112281983544348,-1.4262989044721552,-0.9715946293516573
2,2,-1.3205306399955612,-1.7955584770009971,-1.083583342086217,-1.2287137391134164,-1.8211966018788786,-1.1501615756151606,-1.8268898629111703,-1.154539949688418,-1.1103372898354977,-1.7568772010511757,-1.2134359798047678,-2.2896362372637817,-1.777956210821029,-1.2341686083242753,-1.740043276776459,-1.7289616189539694,-1.4086597759322284,-1.7475166932422632,-1.4563719571942462,-1.0256848885467789
3,3,-1.363124489338653,-1.8394516930705316,-1.1094505202299598,-1.3102341795225705,-1.893681969909209,-1.1851138965019887,-1.9103769356874758,-1.178702295272708,-1.1160321223730272,-1.8227536572369314,-1.2389112388668266,-2.443377080661077,-1.8162055436243958,-1.2912377168233902,-1.8140255275391628,-1.7635057069607805,-1.4439963532793159,-1.8363997768751246,-1.5013381541692998,-1.0804310944138347
4,4,-1.4317582385274459,-1.9342057654492308,-1.1455463067923288,-1.3943326681080426,-1.9621288631785094,-1.2329786793340973,-1.987243000358808,-1.220163658980291,-1.1856567688382171,-1.8582613837643618,-1.270111560060739,-2.5978934160283114,-1.886926491842141,-1.3091615928340683,-1.8563373107892744,-1.80487828986358,-1.4744075356280426,-1.8696180013123378,-1.527827933379641,-1.1283917864711703
5,5,-1.482072113662848,-1.9549291011279626,-1.172021097368745,-1.4617056192300426,-2.0209553323548866,-1.2707363151477595,-2.0597623024234077,-1.2792322094496533,-1.227737466874882,-1.8965104939252795,-1.314209687404617,-2.726600096768257,-1.972964262365746,-1.3721549281661816,-1.934721411646361,-1.8785136119983277,-1.5398947623769206,-1.958558310830314,-1.570897423081952,-1.188334870513046
6,6,-1.539276988665181,-2.046796727600036,-1.2024993258749734,-1.5545222353496064,-2.099960583474177,-1.3028947347629796,-2.159417003400358,-1.294003332351354,-1.2836914678402884,-1.960966870341521,-1.3428433871194883,-2.9857125567755785,-2.023395266970882,-1.4352885473897214,-1.9727780612031427,-1.944415077361119,-1.5514876410923195,-2.0393875135107695,-1.6181748011427732,-1.231243924939493
7,7,-1.6068741348390994,-2.10002900604608,-1.2506450720223539,-1.6675180364638331,-2.1856048683327196,-1.3468776287237,-2.1944894119396765,-1.3224316328686736,-1.3159879527562737,-2.0304997761079133,-1.3760657436134804,-3.1065167129401074,-2.102990700641716,-1.4776610463671165,-2.040771544835333,-1.9587242814484969,-1.6112055851017897,-2.1304307688056805,-1.6607670368099339,-1.28327961590742
8,8,-1.6707731512186759,-2.1816329886983454,-1.2914390985118398,-1.762283334939277,-2.257582514063477,-1.3679421330414834,-2.308144213543192,-1.3785014558006783,-1.3870377904334317,-2.1051960498528093,-1.427983392351999,-3.364267996515318,-2.1914148727827194,-1.522072871872223,-2.117571226039587,-2.035271370792768,-1.656223311019435,-2.2100911801539076,-1.7194371301048872,-1.3501916447438678
9,9,-1.7494997760577944,-2.2788104914535507,-1.3411337824668441,-1.8735236389966294,-2.339999098988011,-1.4053505124280024,-2.396619577880967,-1.416114830553718,-1.421828801912747,-2.161233066624966,-1.4564529724150517,-3.567470184132122,-2.2917563142075075,-1.5811445066818746,-2.174236004737779,-2.1018179085496382,-1.69471617665592,-2.3198864031132875,-1.7519149326463541,-1.3873830866643655
10,10,-1.8073141850527212,-2.37150177479073,-1.3836283345809817,-1.9791486107462015,-2.4393153781627195,-1.4644131591524445,-2.512828661804928,-1.4587706212087308,-1.4858315219426306,-2.2494909682090034,-1.4986934555477103,-3.7806011473702035,-2.431857600677969,-1.6280154924320733,-2.2650324120394076,-2.1596164245252085,-1.7480860878780915,-2.390753107100658,-1.8240098967742353,-1.4337516310890863
11,11,-1.8915261573938704,-2.4514657979538845,-1.4456349450262815,-2.1039009121960626,-2.5272448262234315,-1.500841480430055,-2.6246984527462374,-1.5168013414285069,-1.534920471559964,-2.2979419131228322,-1.5332305562956559,-4.092899611922292,-2.4779497566200073,-1.6845980014546895,-2.331410058801498,-2.2348170433354486,-1.8066167107828943,-2.4611139735147183,-1.843030821974027,-1.5305867448459036
12,12,-1.9731879639199423,-2.582666631999264,-1.4930908541722783,-2.2698366018951615,-2.619970568148018,-1.53218409243106,-2.7309273151780467,-1.5471319920039892,-1.5949179457916909,-2.3900346995576047,-1.5756707902209257,-4.4059363241104235,-2.608070912806172,-1.7609502817001157,-2.41886611864505,-2.3073575752127624,-1.8771633477605865,-2.5712257078249787,-1.9177669413347063,-1.5758496769027401
13,13,-2.0507997448504423,-2.6830273513069773,-1.5408701481037594,-2.4013756748962924,-2.7605723573218026,-1.6040508414759325,-2.837982944689724,-1.6069723534204858,-1.6586478708899637,-2.4891891113975353,-1.6339496668780331,-4.776538851239287,-2.748114074011314,-1.8052420193759884,-2.4641337804351937,-2.386639471132081,-1.9119232414846947,-2.723546444525285,-1.9636929556036855,-1.6259543937758707
14,14,-2.1592967905423874,-2.8001374088416062,-1.603358848946382,-2.5396427132858665,-2.871519524897638,-1.6616213302029688,-2.971522642306812,-1.6521163239628525,-1.7329661322879049,-2.5829910361161685,-1.674275597780895,-5.214334932126898,-2.9164159367191917,-1.8644069307592455,-2.5360972511119493,-2.4496896109427055,-1.9855737587482767,-2.8727068499435786,-2.0169406296020864,-1.7088184713436592
15,15,-2.2497027278267474,-2.940632360697367,-1.6684874311382518,-2.734062601720818,-2.984295556152876,-1.7045165082803786,-3.119185813263278,-1.6875311019594432,-1.8234880851718591,-2.655906439712801,-1.7401602089202608,-5.4774208816207555,-3.0737312092745865,-1.9162771405094419,-2.6660230427839138,-2.511055693616761,-2.034992063764482,-2.9602967445480113,-2.08016818197408,-1.7548222522942283
16,16,-2.3488744695648127,-3.0501524050369766,-1.7409105378364491,-2.929526880303743,-3.1201725930023954,-1.7674300778488412,-3.2233533707574775,-1.7263073001824851,-1.8758678995383022,-2.8009542187619316,-1.7736877791329138,-5.76966390230597,-3.2272113226263417,-2.0060154787842364,-2.724381127490871,-2.625064793966396,-2.0995710043575495,-3.13186344081855,-2.143582440424308,-1.8447663768921354
17,17,-2.4739487074496833,-3.205420415144519,-1.8263606169643845,-3.188580366719662,-3.286044743493233,-1.8129667343074811,-3.380672293793735,-1.8174055535355151,-1.9470664710375518,-2.9135532066279985,-1.8284654245602778,-5.976449500220172,-3.470256179370404,-2.1020204183461226,-2.8435875693518846,-2.7191483016878277,-2.1584110004923054,-3.2812067670051355,-2.2033582611724585,-1.9292778115728968
18,18,-2.5864999656435215,-3.3340965207567126,-1.9072160109442955,-3.3806011336577284,-3.4464298650980667,-1.8774724813908172,-3.566784047749116,-1.8943529924878943,-2.0465285566425915,-3.03807241658822,-1.8899461059521445,-5.808166949381997,-3.6228473913025923,-2.1392616780182845,-2.9429655699500423,-2.8247402724032007,-2.2234402157410607,-3.4923273400151653,-2.275666944063675,-1.9911661107240608
19,19,-2.705247422443468,-3.5068890667555044,-1.9857009022718048,-3.609300315480056,-3.6490687659056915,-1.960948214136515,-3.7164914919010985,-1.912606237358665,-2.1273950620806414,-3.1596524400247947,-1.9721558817914082,-5.493367352932663,-3.8568910385685546,-2.231482903510589,-3.043914887986941,-2.9660848066748255,-2.326557377322238,-3.6792103578639006,-2.359594793743883,-2.0811681901914834
20,20,-2.834186705862447,-3.742227569380937,-2.084135045236257,-3.93575269994919,-3.8190981508624295,-2.0238732076778345,-3.9070581982471966,-2.021313595820742,-2.22272145027997,-3.305583045224041,-2.0352148629690237,-5.31912084620558,-4.11322427386716,-2.3420230811280907,-3.179642455361225,-3.095171606133352,-2.369498411602684,-3.9078195750458518,-2.3976248695751927,-2.1591702840873546
21,21,-2.9742257779246195,-3.9533444111647973,-2.1741239872525306,-4.162359976412146,-4.053267015001578,-2.0957778162771525,-4.0809493752674655,-2.0998424488205054,-2.3261493096067345,-3.4407689121056415,-2.0964422770129474,-5.084318373179786,-4.556131127213529,-2.4294394932956074,-3.3334611946936574,-3.203125452000309,-2.463169510340699,-4.1371321461709725,-2.499713720433221,-2.258423495732272
22,22,-3.2111245621374307,-4.1179579868131695,-2.286657743630259,-4.433007058606514,-4.302904202845904,-2.171783442025057,-4.33436693544774,-2.1514893430774618,-2.457874657554904,-3.665453665755921,-2.1846930020784057,-4.937566029450469,-4.759132639171014,-2.5515842993857043,-3.4257021341161615,-3.383743068345862,-2.541879098401672,-4.447261576396345,-2.602176890303989,-2.33716359829275
23,23,-3.379732407442383,-4.409051724179857,-2.3806160760594195,-4.736225778330783,-4.624512839205712,-2.245029900561981,-4.544875845089517,-2.2523883733588614,-2.5516696951292173,-3.8475788831555895,-2.3066072500190744,-4.8705272417780945,-5.022208849332316,-2.644870357364973,-3.6109999440445097,-3.457611054985874,-2.6359745584221805,-4.75075986856536,-2.6502814460965163,-2.458445057342582
24,24,-3.5255570806802683,-4.549455957144661,-2.521156448803739,-4.830372104274092,-4.92324935460578,-2.3395573470214828,-4.814078568353717,-2.3596141103638706,-2.6975679509617203,-4.10268319287737,-2.3877842560704114,-4.8812580562604655,-5.28294654944935,-2.792635965313917,-3.775413313561115,-3.6929549866576026,-2.751679775430222,-5.084475802535119,-2.7837576037348675,-2.5573000081942543
25,25,-3.7218143597273707,-4.8211840423861005,-2.734067853449166,-4.973801462913997,-5.321652418294788,-2.4071780696268874,-5.2806959484058655,-2.44648682062509,-2.814492223632269,-4.311341231986117,-2.4718149733410226,-4.790933887362821,-5.359110445784825,-2.918677703863006,-3.9171610741567244,-3.821815293397982,-2.819962517629186,-5.309808285441003,-2.866912184916913,-2.656836178176472
26,26,-3.964667480235854,-5.193652585991087,-2.84714979522444,-4.913578615889924,-5.616674564938302,-2.5720722928215887,-5.569987553578701,-2.540339174434504,-2.951970361975911,-4.591439632253211,-2.610495569053459,-4.872437721300413,-5.305486735953364,-3.065668443402605,-4.182193687368478,-4.0564521815835635,-2.9702176011999377,-5.7448080694696895,-2.9771822066288793,-2.8092571091495246
27,27,-4.222512758994787,-5.352366444873603,-3.0077006703957063,-4.801759587980457,-6.166313504071922,-2.670942490171057,-5.786663749884115,-2.6931712302464974,-3.142729197483974,-4.856828623182011,-2.7289986211031034,-4.936784556948492,-5.227376430252162,-3.2163809662253713,-4.344054944768487,-4.260435457034778,-3.139408574744914,-6.009614649523388,-3.035455605468078,-2.955931730067948
28,28,-4.450913071929046,-5.496290239017051,-3.2044496020754685,-4.662440192956763,-6.257506410924859,-2.7363439368895794,-5.944491671285448,-2.837192309819373,-3.300643844981728,-5.257375156436804,-2.8984828122941972,-5.019925719890887,-4.921416421709066,-3.3834326443463043,-4.618479983348872,-4.50933121848291,-3.246785227980147,-6.016675211687737,-3.2131983011389,-3.1189813522093606
