,step,seed0,seed1
0,0,-0.40657829370045917,-5.3838353815346585
1,1,-0.8329114973944723,-3.2163211033017
2,2,-1.3751281479764215,-5.019488384451854
3,3,-2.0414555547197506,-4.483716514939359
4,4,-2.981914766763411,-3.8873723483731473
5,5,-4.227497868165872,-4.244440579860146
6,6,-4.424333216048328,-5.2056763052648956
7,7,-3.5536093500395864,-5.335552062410117
8,8,-2.9059928195091764,-4.593576797540071
9,9,-2.5511158770793902,-4.406884694706046
10,10,-2.4436851486520648,-4.686246898438755
11,11,-2.377222403046498,-5.370137301551792
12,12,-2.4836905364652035,-5.626622230024173
13,13,-2.6372186259351023,-5.2356978580656
14,14,-2.9008783307573567,-4.778636220231211
15,15,-3.2041011810292668,-4.876221470624665
16,16,-3.5629016452193256,-5.25371180999278
17,17,-4.110979949670079,-5.65859563336269
18,18,-4.514601376168844,-5.7345220751558745
19,19,-4.87352624173853,-5.414594834344928
20,20,-4.8142914569101265,-5.1655437063487835
21,21,-4.705713014683393,-5.333158921462766
22,22,-4.382515481165989,-5.520416802891876
23,23,-4.270275835818116,-5.930612100005634
24,24,-4.073254431782783,-5.917221099398553
25,25,-3.8275973945969772,-5.536552693272429
26,26,-3.870376712863574,-5.524908367078865
27,27,-3.8878943193760276,-5.590167681357132
28,28,-3.9444829493266123,-5.679147968001606
29,29,-4.055192639355768,-5.994866485106958
30,30,-4.159684957181934,-6.064181600725192
31,31,-4.373752331366613,-5.7795460082168555
32,32,-4.574108919640922,-5.745446046574208
33,33,-4.810264231402667,-5.770967443747838
34,34,-4.86898718769563,-5.925559180547053
35,35,-4.8842692146840605,-6.161572247077578
36,36,-5.040356273874321,-6.210905890275115
37,37,-5.0845112258536265,-5.9896652182696535
38,38,-4.772589968953012,-5.971939162940629
39,39,-4.854417438815456,-6.167151027898234
40,40,-4.831515785995933,-6.353435733504807
41,41,-4.597568521813475,-6.199699870936124
42,42,-4.7817563972436234,-6.140117814478089
43,43,-4.62376834923552,-6.162810422111992
44,44,-4.6498898742305235,-6.175818291813265
45,45,-4.709053809668701,-6.292478692562751
46,46,-4.82015371483219,-6.479898758847037
47,47,-4.868177733419014,-6.490280897487051
48,48,-5.028075722350222,-6.427764608605413
49,49,-4.9400053317850885,-6.5087518296906755
50,50,-5.068150117654703,-6.581375989570532
51,51,-5.125646021149592,-6.608606091707478
52,52,-5.113338551066476,-6.630344345449465
53,53,-5.0560371076364286,-6.73509464668155
54,54,-4.93291976865711,-6.715359758284042
55,55,-4.875885953504183,-6.852514397991102
56,56,-4.9489601531156415,-6.549665080548802
57,57,-4.9551980471520345,-6.783938099131868
58,58,-5.052430955802389,-6.704992204661267
59,59,-5.013940637592989,-6.725773022440381
60,60,-5.089184005784079,-6.84827654838508
61,61,-5.120251218105048,-6.803750823419775
62,62,-4.980810254110776,-6.8549326064714435
63,63,-5.175812283153537,-6.915387937616613
64,64,-5.156775799503638,-6.972139381538196
65,65,-5.114385076691305,-7.0995171217298845
66,66,-5.026566316352852,-7.094637121535175
67,67,-5.111849236338396,-7.048003661834707
68,68,-5.163064530661652,-7.19426567322728
69,69,-5.113846022900208,-7.062703203583311
70,70,-5.172523203190629,-7.122476409852574
71,71,-5.019064403720425,-7.291853523947357
72,72,-5.067263040031191,-7.265787055181848
73,73,-4.9967045801771,-7.304643216559761
74,74,-5.217886205649545,-7.332040453836548
75,75,-5.114008635975366,-7.3885755409748715
76,76,-5.162685531131337,-7.350620519393419
77,77,-5.21851942293116,-7.511131399704785
78,78,-5.106738407656455,-7.330588655509436
79,79,-5.121000376569004,-7.429756772952676
80,80,-5.122709006970115,-7.533764725959543
81,81,-5.098622953922739,-7.537350018889851
82,82,-5.252434478538898,-7.623763622711799
83,83,-5.1544915887707035,-7.620216205065005
84,84,-5.282285304827161,-7.705907708126931
85,85,-5.362425829905322,-7.669860255135007
86,86,-5.269447311604718,-7.742252743437951
87,87,-5.249572605615869,-7.697820891514833
88,88,-5.176297531174103,-7.838630050685109
89,89,-5.238521818976174,-8.036092206202051
90,90,-5.1946935456013845,-7.858163370235772
91,91,-5.389272798310148,-7.862826575877404
92,92,-5.268360525474638,-7.8826498930861835
93,93,-5.1877466653279845,-8.083419608364235
94,94,-5.155039037496024,-7.960982416445315
95,95,-5.234090986157221,-8.077653258909903
96,96,-5.355021926449421,-8.049279164881078
97,97,-5.294388722102404,-7.994903267355074
98,98,-5.405224365445242,-7.965791831921198
99,99,-5.183286643330274,-8.148112181696932
100,100,-5.284695030552227,-7.972655733498036
101,101,-5.232991786971996,-8.055978891197585
102,102,-5.302475348477575,-8.134228491825132
103,103,-5.38321177764649,-8.076307747455324
104,104,-5.343020736843242,-8.04636206338844
105,105,-5.369818933748252,-8.129756421043984
106,106,-5.2694694985208566,-8.06910762887323
107,107,-5.344811499797716,-8.096713054610687
108,108,-5.3191492275196985,-8.083554406444444
109,109,-5.251916536870358,-8.226134408767782
110,110,-5.207927222316406,-7.968570281640369
111,111,-5.362877385401529,-8.17399821887786
112,112,-5.359223270320438,-8.191904360078274
113,113,-5.315277560980671,-8.153529027635575
114,114,-5.442159971372141,-8.240610419565213
115,115,-5.288082074805959,-8.199142754017318
116,116,-5.419703619257685,-8.148634707526124
117,117,-5.399825042463642,-8.116032819248456
118,118,-5.273364006898422,-8.25412153463219
119,119,-5.408141529740562,-8.306075248520056
120,120,-5.2885511122174504,-8.188237592670957
121,121,-5.459329556268802,-8.166789235444183
122,122,-5.235658106029299,-8.1579873282568
123,123,-5.321863167010841,-8.039516255946028
124,124,-5.369062548045632,-8.092909171207094
