,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-2.307932577322912,-1.872057800916392,-0.2391487737349828,-2.802475645256058,-0.9836628516870193,-1.5137371617376882,-1.1289722388097296,0.3562707144287573,-0.4100781488447781,-5.740537958193655,-0.24840175566312891,-0.6386925894681589,-1.1073364416421405,-2.554951333167462,-1.3721617566111768,-0.14881403010379082,-1.164369439546882,0.31807176394349385,-3.8959277629584506,-3.16150971931755
1,1,-3.7385415925746712,-4.172000593056412,-0.7552228701766323,-5.689543298938367,-1.764110017714436,-2.8595729103618317,-1.9283122560591286,-0.022376044861925463,-0.8322657070041369,-3.306112741252585,-0.8842684652458566,-1.4879520470518592,-1.85029851109431,-3.978765200188452,-2.219774618042339,-0.7202178301400644,-2.1349847077595245,-0.18733215712142925,-5.567303991987942,-5.582154374711862
2,2,-5.674785237135273,-3.899215375742631,-1.4141350437046163,-3.641341310505856,-2.9062924707153783,-5.243527096406252,-3.0990956176447577,-0.48089795710631467,-1.3434740707088326,-5.293620181375853,-1.7697751849020118,-2.851477307885389,-2.8307333547088946,-6.561107882966711,-3.510183234572037,-1.5153873596861238,-3.816594451149658,-0.7967496133566125,-4.214958896484123,-3.792026072714917
3,3,-4.355318427961222,-2.8404687472935284,-2.376552731435467,-3.349761525836705,-4.759867326376264,-3.9298549245716607,-5.15340032926946,-1.070210268368897,-2.073302449995542,-4.725036337310656,-3.17939475078087,-5.110773695017088,-4.557635345958799,-4.265670274184392,-5.36384914953512,-2.6957146218455854,-5.021692235595187,-1.62066849185281,-4.697112022831311,-3.6484514042032665
4,4,-3.62129590051606,-2.7884335235788305,-3.8599573601512596,-3.9527066514686893,-4.466895859413812,-2.9460501018675442,-4.475381108863499,-1.8493819867305754,-3.0573814853361783,-3.896243301369962,-5.07856170543292,-3.6569919562932998,-5.069178296800333,-3.637473224033387,-3.987030586028021,-4.60244853201565,-3.328202812792775,-2.929798457209312,-5.597343791981689,-4.522059974609088
5,5,-3.470786036601786,-3.2903664988264407,-5.063424207820812,-5.3006434855338,-3.2416749871469124,-2.7537077187946077,-3.2659639401681115,-2.9668295084899823,-4.650173270672006,-4.301187673877223,-3.545109302657861,-2.5551913900644787,-3.662072518352473,-3.653446469287668,-3.087664558555572,-3.9785105002616867,-2.7468666454572093,-4.710525186821302,-5.8085740516831255,-5.806697678666079
6,6,-3.6952608649072274,-4.241900178510747,-3.485999089544162,-5.416500620815523,-2.736074071116415,-2.85938203245363,-2.7731917625057294,-4.647961259057894,-4.9565682787434335,-5.600802930283414,-2.5421813012909973,-2.1998108434577444,-3.029908089727815,-4.009059885018279,-2.7880643138909655,-2.7660626203593446,-2.596322143920141,-3.369399729639219,-4.93085420341292,-4.810895291318928
7,7,-4.1691831215129405,-5.64425013081657,-2.6696752108414166,-4.41104657670199,-2.5792012213255133,-3.2666260114004713,-2.638370655879155,-4.044034183206172,-3.694357734955144,-5.747203193617685,-2.1375013429281826,-2.1691727857817646,-2.8672500055902175,-4.883516966039808,-2.7832928866921596,-2.2766502377769955,-2.669697050992403,-2.4478855648589106,-4.846443213201391,-4.195311301681628
8,8,-4.9292412324257,-4.5107065276290275,-2.307478781956059,-3.985244015011909,-2.5986725544944913,-4.062716470072089,-2.719502611182494,-3.0154468390549893,-2.9878644114430712,-4.700247444221068,-1.9442708981962669,-2.3114176087897795,-2.8052001626833922,-6.379039304249437,-3.0172870200042534,-2.008219540927213,-2.9699315475063752,-1.951413986895795,-5.1877009858475835,-4.295667664200903
9,9,-5.80094482665907,-3.714204175504081,-2.2387162928328954,-4.259034531748089,-2.766503313597495,-5.143555966740217,-3.031180728139765,-2.3736829872715446,-2.6209839145180918,-4.533637543462926,-2.026072054249075,-2.667105739258253,-2.9692401626248275,-6.2720699285223445,-3.4057648227520447,-1.9699628910892022,-3.4989881628365365,-1.7123839273202506,-5.94151014004731,-4.824609235183477
10,10,-5.521045608481372,-3.5653573494410606,-2.1853577965978697,-4.7563372181451165,-3.1129434181828257,-5.368267657889571,-3.4001854901857036,-2.0861366397846077,-2.4857644105220715,-4.752038871889856,-2.1412667834783976,-3.13664489385317,-3.2482892199805704,-5.24207771670494,-3.993542498049361,-2.0673603454882947,-4.283578347750973,-1.6469311275903318,-5.986047453407758,-5.6752041073364055
11,11,-4.902159382412391,-3.6455952345272364,-2.2299459134710844,-5.800793193576549,-3.533775936353329,-4.589161244478804,-4.031139673525783,-1.9491921391389389,-2.4359414747371284,-5.552547704008658,-2.4198591038330317,-3.8403509812821137,-3.617705287875012,-4.685858920799548,-4.8033671506269044,-2.3061540583635747,-5.199029083579025,-1.6858956600762984,-5.470808689988447,-5.74776070566543
