,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.834562824067819,-2.948429490028307,-2.555269247671873,-1.6522384712160305,-1.0346493276591953,-1.164239969568459,-1.388138372155654,-1.4299552124601822,-2.231572069509046,-1.461905165199626,-1.1953445864987986,-2.051073410415455,-1.8325974808722334,-1.4636850556389096,-1.5001469317687035,-1.4185297980089546,-1.859312197479573,-1.7912029525854496,-1.6235657016013798,-1.2056997181776141
1,1,-1.906436700713039,-3.03691085852677,-2.6976502368086592,-1.7092863208572604,-1.053793669246949,-1.1948834229631273,-1.4608124428847753,-1.5087453954440337,-2.3236257035931804,-1.4991847100836078,-1.2042523610238023,-2.1095841414012138,-1.8798678867495502,-1.5066229015867445,-1.5666496527479257,-1.483069871079875,-1.874023844349709,-1.792931444574279,-1.6414493068348415,-1.2506700533123787
2,2,-1.959388294529884,-3.111168544128088,-2.796659323513547,-1.7715484270450288,-1.1298577002338988,-1.2323974107579039,-1.47473082297534,-1.5403354201649764,-2.4406787600433106,-1.501798645372944,-1.2677206992283345,-2.148380215965382,-1.9319510524375714,-1.5590040103203322,-1.6367611244576195,-1.5178097064203768,-1.9704995221563337,-1.8882918473575203,-1.7232723373944518,-1.271104169018984
3,3,-1.9983241036208683,-3.2486877711640916,-2.851041757361672,-1.8443712504360095,-1.1341490407738373,-1.2894431266826896,-1.4974163459680818,-1.6271034197187646,-2.4826461837968608,-1.6154564693140319,-1.297220253636218,-2.206886515950125,-1.9566402667305314,-1.6359542195898034,-1.7344476746329136,-1.5663804988045962,-2.029090138237858,-1.8706328586530148,-1.796772056954656,-1.3161503442104225
4,4,-2.0955991721296914,-3.3491571402089377,-3.0073424178374744,-1.8738856285119443,-1.1667678968729818,-1.3426938412497664,-1.5671598897243042,-1.6316983611067908,-2.6091031933609687,-1.6384843212555307,-1.3103786275155376,-2.2804154722626624,-2.0065837011050744,-1.6599608990959014,-1.8473400042200692,-1.655318106377934,-2.01217244706431,-1.9424534169240542,-1.8752149730506655,-1.3756698113148529
5,5,-2.1626716131721997,-3.530769605108732,-3.157104883747055,-1.9389238922439338,-1.2020507396145677,-1.3771161163346328,-1.621009753404848,-1.6807978267641208,-2.644835873715998,-1.6885242452052205,-1.3645841160043928,-2.3651641234164873,-2.076777668188785,-1.6995555429194387,-1.9609803227739657,-1.6741849125316757,-2.076644044204951,-1.9489470569494223,-1.9333734241351381,-1.403260057145147
6,6,-2.2268109292133316,-3.599793885086664,-3.189421720180082,-1.9771175246399748,-1.2455372807040785,-1.41759565428799,-1.65956832698529,-1.7197993833312313,-2.753403913017297,-1.7481350981818973,-1.370984889959574,-2.3661918106551423,-2.1211241012308246,-1.7556089421173002,-2.0394237600942504,-1.7657635072789142,-2.144709070720747,-1.9863107931255386,-1.9999074074703658,-1.4812322397554696
7,7,-2.2780966800486375,-3.7194107369420126,-3.387794614598063,-2.0430453774478283,-1.2636363620669209,-1.4659186177957406,-1.7042133379370947,-1.7681397910156538,-2.8516160573279037,-1.755779581109375,-1.443125706045107,-2.4394484620244743,-2.224941458530446,-1.7924979311368736,-2.157539665981896,-1.8032590318931807,-2.1698919685905502,-2.0063492950657045,-2.0653471758036592,-1.4904972727603187
8,8,-2.344125424671585,-3.8730296741980226,-3.5523990868327973,-2.1347330398414863,-1.284195647847566,-1.5089911382111107,-1.7637586736313586,-1.8009171943549502,-2.975481572892981,-1.8275552023847224,-1.481584510419957,-2.4906458544210794,-2.224854139543406,-1.8976197076673085,-2.282150362542284,-1.866365207430831,-2.248581737788911,-2.0201687107428667,-2.1537242833623695,-1.5558478205951471
9,9,-2.4845556916293594,-4.1078636018237935,-3.7483363420494373,-2.225815992269371,-1.3100830782198367,-1.5793390142570314,-1.812654911462197,-1.8354066726129643,-3.000741040242454,-1.8943038258425389,-1.507136927835615,-2.5713784507978183,-2.3475584816838793,-1.9168026163458285,-2.3966142145697473,-1.9380328359292258,-2.306107599249228,-2.0619146526297643,-2.2256797243360715,-1.593112418693523
10,10,-2.545489486031891,-4.304874881965513,-3.8228597628828194,-2.2847974875736887,-1.340937254208337,-1.6227408272709838,-1.8586776655265802,-1.9060619582068201,-3.1172354338989865,-1.9153547883674988,-1.5396836481464855,-2.646146858906728,-2.3691187296102996,-1.961666050429319,-2.554492936480682,-2.0259079634657646,-2.330319427763447,-2.106409165849657,-2.31808575417544,-1.5948473622514387
11,11,-2.595967724529437,-4.4263872128789705,-4.05679883277155,-2.353970650568225,-1.3581414923326907,-1.6869201005791674,-1.9685629921903511,-1.9744217106657038,-3.292791540533717,-1.9683679970676615,-1.5930141475028545,-2.746475581393156,-2.4994879050153305,-2.0325000870665377,-2.6738442306166887,-2.0896931302189166,-2.389051766781452,-2.1634221120592496,-2.450641156373327,-1.6817930188042212
12,12,-2.7456633281315406,-4.57544012099685,-4.238583542029095,-2.443335766324478,-1.417399057930298,-1.7390916041517983,-2.003584852940637,-2.018816651345127,-3.336062549703531,-2.015045936576106,-1.6317503563060942,-2.8238463163354743,-2.5336400545574222,-2.089102502439844,-2.815544212741212,-2.2151636591052646,-2.417794195775774,-2.169032071640992,-2.523017625816287,-1.7213365737114
13,13,-2.8380023504859824,-4.834208163860758,-4.467987816546672,-2.503339679872182,-1.4409181558693152,-1.7524001925937238,-2.06974180093986,-2.064120508774318,-3.4691951497061533,-2.059689778080996,-1.6889936496206126,-2.875182149734611,-2.6174229528456006,-2.142419719302554,-2.960334273150039,-2.2752099990919272,-2.5027368292670853,-2.233179372337181,-2.629093532689841,-1.8014110225945619
