Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
30000,1.4186939,24.685787671232877,-0.045614343,2.076775576584137,2.076775576584137,1.500839,0.03022363,0.0002996927,0.1998976,0.0049948865,1.0
60000,1.4176081,24.88955996548749,0.06338544,2.129364418253187,2.129364418253187,1.1751819,0.03074835,0.00029938464,0.19979483,0.004989763,1.0
90000,1.416404,24.901639344262296,0.23701225,2.265486621954402,2.265486621954402,0.89505595,0.030143743,0.0002989234,0.19964108,0.0049820915,1.0
120000,1.4155543,24.803770351328193,0.43127838,2.5720400164482005,2.5720400164482005,0.8179372,0.032204386,0.00029846205,0.19948734,0.0049744197,1.0
150000,1.4144211,25.302816901408452,0.6845175,2.8677710473537443,2.8677710473537443,0.77065253,0.034254,0.00029800093,0.19933365,0.0049667484,1.0
180000,1.4135802,25.6072695035461,0.8245586,3.1666945146186856,3.1666945146186856,0.8130394,0.035290398,0.00029753998,0.19918004,0.0049590813,1.0
210000,1.4126747,25.69306049822064,0.9653001,3.3756082427300167,3.3756082427300167,0.8011762,0.035655864,0.0002970784,0.19902611,0.0049514035,1.0
240000,1.4116269,25.100087032201916,1.0568922,3.365527875319771,3.365527875319771,0.7736864,0.032981556,0.00029661637,0.19887213,0.004943719,1.0
270000,1.4108897,24.929065743944637,1.2326291,3.6525467596851553,3.6525467596851553,0.72707224,0.03788932,0.00029615505,0.19871834,0.0049360446,1.0
300000,1.4104353,25.056472632493485,1.3836092,3.870708230950851,3.870708230950851,0.714753,0.039833657,0.0002956937,0.19856456,0.0049283705,1.0
330000,1.4098355,24.82788296041308,1.4529476,3.8846980695983016,3.8846980695983016,0.6800446,0.03716315,0.00029523275,0.19841087,0.0049207034,1.0
360000,1.40864,24.546462063086103,1.6148823,4.058477226955724,4.058477226955724,0.6539628,0.039546702,0.00029477183,0.1982573,0.0049130362,1.0
390000,1.407797,25.327541268462205,1.6679146,4.194223133509943,4.194223133509943,0.6608527,0.036796965,0.0002943104,0.19810344,0.0049053617,1.0
420000,1.4068414,25.19753086419753,1.833109,4.428391948056262,4.428391948056262,0.591744,0.035877597,0.00029384886,0.19794957,0.004897685,1.0
450000,1.4065427,25.315188762071994,1.9305578,4.543100162765436,4.543100162765436,0.6593122,0.039121673,0.00029354115,0.19784704,0.0048925686,1.0
480000,1.4060591,25.20490367775832,2.0415957,4.706242832033915,4.706242832033915,0.6607836,0.036791667,0.00029307953,0.19769317,0.0048848893,1.0
510000,1.4055538,26.026126126126126,2.1026108,4.882639317308461,4.882639317308461,0.69219846,0.036763307,0.00029261791,0.1975393,0.0048772106,1.0
540000,1.4045274,25.887197851387647,2.175951,4.93010021719454,4.93010021719454,0.71367466,0.038349748,0.00029215647,0.1973855,0.0048695356,1.0
570000,1.4035169,25.940754039497307,2.2408538,5.03897349357177,5.03897349357177,0.73879164,0.035863157,0.00029169457,0.19723146,0.0048618517,1.0
600000,1.4030641,26.31175934366454,2.3257298,5.281132304874708,5.281132304874708,0.7737806,0.036597848,0.00029123333,0.19707781,0.004854181,1.0
630000,1.4021732,26.52795600366636,2.4429731,5.497741377244302,5.497741377244302,0.7892881,0.041944657,0.00029077157,0.19692382,0.0048464993,1.0
660000,1.4017168,26.80148423005566,2.5195334,5.632682602421015,5.632682602421015,0.8361481,0.03713031,0.00029031013,0.19677004,0.004838826,1.0
690000,1.4009494,27.092609915809167,2.6037169,5.792724608928523,5.792724608928523,0.8284687,0.038016003,0.0002898491,0.19661634,0.0048311558,1.0
720000,1.4005024,27.165413533834588,2.6899638,5.899325806546099,5.899325806546099,1.0115321,0.03775032,0.00028938745,0.19646245,0.0048234775,1.0
750000,1.3998073,27.745925215723872,2.8236778,6.192434964794309,6.192434964794309,1.0970097,0.041374262,0.00028892516,0.19630843,0.004815788,1.0
780000,1.3994359,28.058823529411764,2.9778664,6.507163691843814,6.507163691843814,1.1648206,0.038053118,0.00028846425,0.19615477,0.004808122,1.0
810000,1.398691,28.81118881118881,3.2348738,7.035944950094754,7.035944950094754,1.2730896,0.04070018,0.00028800342,0.19600111,0.004800456,1.0
840000,1.3976661,28.899100899100898,3.2939794,7.156396770643688,7.156396770643688,1.4953469,0.04003555,0.00028769593,0.19589862,0.004795343,1.0
870000,1.396868,29.393110435663626,3.5293305,7.651468202275466,7.651468202275466,1.7407675,0.04028354,0.000287234,0.19574466,0.0047876574,1.0
900000,1.396223,29.922600619195048,3.6276135,7.96689882579538,7.96689882579538,1.9555472,0.038806506,0.00028677232,0.19559082,0.00477998,1.0
930000,1.3954139,30.971246006389777,3.8563554,8.610028149474797,8.610028149474797,2.4318964,0.03974215,0.00028631146,0.19543716,0.0047723134,1.0
960000,1.3946623,31.736095965103598,4.0665264,8.981773413319624,8.981773413319624,2.8880076,0.041197084,0.00028584866,0.19528289,0.0047646156,1.0
990000,1.3934435,32.448160535117054,4.298114,9.588989415272538,9.588989415272538,3.359694,0.040827714,0.0002853878,0.19512922,0.004756949,1.0
1020000,1.3920358,33.65473441108545,4.539553,10.361429949349123,10.361429949349123,4.161444,0.03817053,0.00028492638,0.19497544,0.0047492743,1.0
1050000,1.3913155,34.08187134502924,4.7056007,10.625779900704211,10.625779900704211,4.3445363,0.040355362,0.0002844653,0.19482175,0.0047416054,1.0
1080000,1.3903295,35.02403846153846,4.9360867,11.1583177284891,11.1583177284891,5.1185517,0.039654385,0.00028400405,0.19466798,0.004733934,1.0
1110000,1.3893001,35.81717791411043,5.1549516,11.860295411414164,11.860295411414164,5.8071623,0.039103955,0.0002835426,0.19451419,0.0047262576,1.0
1140000,1.3887005,37.89248704663213,5.581058,13.056654505228718,13.056654505228718,6.7131042,0.040701523,0.0002830808,0.19436027,0.004718577,1.0
1170000,1.3881723,39.070572569906794,5.693597,13.59257006223434,13.59257006223434,8.474297,0.04015529,0.00028261798,0.19420598,0.0047108782,1.0
1200000,1.387533,38.93163538873995,5.92139,13.611465223302218,13.611465223302218,8.226859,0.043542437,0.00028215678,0.19405225,0.0047032074,1.0
1230000,1.3867768,40.69348127600555,6.234198,14.717042259716955,14.717042259716955,8.685404,0.039178804,0.00028184926,0.19394974,0.0046980926,1.0
1260000,1.3856368,41.58321479374111,6.4987864,15.519508862308893,15.519508862308893,10.796598,0.041863665,0.000281388,0.19379598,0.00469042,1.0
1290000,1.3844558,41.862857142857145,6.7069044,15.753361035415104,15.753361035415104,9.553447,0.040933117,0.00028092688,0.19364227,0.00468275,1.0
1320000,1.3837467,44.03453453453454,7.0922985,17.3189768405469,17.3189768405469,12.321484,0.043497253,0.00028046532,0.19348842,0.004675073,1.0
1350000,1.3828897,45.00153374233129,7.4454007,18.020590998278074,18.020590998278074,14.134277,0.043200187,0.00028000367,0.19333455,0.0046673943,1.0
1380000,1.3817309,47.32794830371567,7.836908,19.745392995111406,19.745392995111406,16.0332,0.03955145,0.0002795423,0.19318075,0.0046597184,1.0
1410000,1.3804612,49.660472972972975,8.330979,21.282230392299795,21.282230392299795,19.630497,0.042687796,0.00027908056,0.19302689,0.0046520396,1.0
1440000,1.3794026,49.90524534686971,8.718127,22.023616349535747,22.023616349535747,19.355167,0.04135492,0.00027861877,0.1928729,0.0046443576,1.0
1470000,1.3786354,52.611111111111114,8.921907,23.833424498103426,23.833424498103426,19.924765,0.0389545,0.00027815747,0.19271912,0.0046366854,1.0
1500000,1.3776262,54.03669724770642,9.534249,25.43953273329166,25.43953273329166,25.292747,0.039283104,0.00027769606,0.19256532,0.0046290113,1.0
1530000,1.3765023,54.910614525139664,9.703865,26.27357252749651,26.27357252749651,24.87995,0.04098247,0.00027723407,0.19241136,0.004621326,1.0
1560000,1.3755702,55.39399624765478,10.065457,26.66634044353675,26.66634044353675,28.5066,0.03914155,0.00027677184,0.19225726,0.004613638,1.0
1590000,1.3747972,56.150763358778626,10.698677,27.434388617712283,27.434388617712283,29.086634,0.038707387,0.00027631022,0.19210339,0.0046059587,1.0
1620000,1.3741866,62.12658227848101,11.343686,31.834290520551335,31.834290520551335,30.857306,0.037179146,0.00027600196,0.19200058,0.004600832,1.0
1650000,1.3739213,57.701171875,11.300394,29.096100961673073,29.096100961673073,33.486656,0.040811457,0.00027554051,0.19184685,0.0045931567,1.0
1680000,1.3734754,62.54872881355932,12.003289,32.19110742085061,32.19110742085061,31.22805,0.040169396,0.000275079,0.19169296,0.0045854794,1.0
1710000,1.3729601,61.855345911949684,12.193302,31.621687820122677,31.621687820122677,34.020958,0.038418062,0.00027461728,0.19153908,0.0045778006,1.0
1740000,1.3723776,66.72911963882619,13.003864,35.42291218594019,35.42291218594019,36.103268,0.03799628,0.0002741559,0.1913853,0.004570126,1.0
1770000,1.3715166,62.77872340425532,12.902649,33.340915641632485,33.340915641632485,36.559807,0.039290577,0.0002736937,0.19123125,0.0045624385,1.0
1800000,1.37107,67.97011494252874,13.300331,36.023040426873614,36.023040426873614,35.624622,0.04076977,0.00027323246,0.19107755,0.0045547658,1.0
