Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
30000,1.4188535,24.542978723404254,0.027284456,1.9284282285827998,1.9284282285827998,1.522322,0.030017179,0.0002996925,0.19989745,0.004994885,1.0
60000,1.4180795,25.03217391304348,0.13289298,2.2151981906758413,2.2151981906758413,1.1260396,0.030575788,0.00029938537,0.19979511,0.004989775,1.0
90000,1.4172525,25.046006944444443,0.2998284,2.272970157209784,2.272970157209784,0.92345715,0.029963717,0.0002989241,0.19964138,0.0049821045,1.0
120000,1.4163142,25.58015943312666,0.46063304,2.535475909524987,2.535475909524987,0.8692885,0.0327443,0.00029846295,0.19948767,0.004974435,1.0
150000,1.415483,25.409490333919155,0.6325317,2.772071657492451,2.772071657492451,0.7984054,0.032787442,0.00029800198,0.199334,0.0049667675,1.0
180000,1.4143322,25.338908450704224,0.84634066,3.09275890820062,3.09275890820062,0.7361765,0.03523283,0.00029754086,0.19918026,0.0049590957,1.0
210000,1.4137218,25.592198581560282,1.0028441,3.2836527007147738,3.2836527007147738,0.72255886,0.033556394,0.00029707944,0.19902645,0.0049514207,1.0
240000,1.4130464,25.38542581211589,1.168569,3.475632156262612,3.475632156262612,0.6833563,0.038106393,0.000296618,0.19887266,0.004943746,1.0
270000,1.4127368,25.31569664902998,1.2950463,3.557074519625881,3.557074519625881,0.68187225,0.034738876,0.00029615677,0.19871888,0.004936074,1.0
300000,1.4119562,25.42630185348632,1.4849756,3.8466904927192807,3.8466904927192807,0.6737693,0.03622099,0.00029569567,0.19856517,0.004928404,1.0
330000,1.4109621,25.248251748251747,1.5860399,3.948022711986215,3.948022711986215,0.6629371,0.03627333,0.00029523444,0.19841152,0.004920732,1.0
360000,1.4105364,25.211908931698773,1.681427,4.038718052573137,4.038718052573137,0.6495447,0.034189127,0.00029477305,0.19825776,0.0049130595,1.0
390000,1.4095758,25.411042944785276,1.8162986,4.277839759732006,4.277839759732006,0.6628159,0.037097193,0.00029431176,0.1981039,0.004905385,1.0
420000,1.4082828,25.810592459605026,1.8268352,4.339941071135002,4.339941071135002,0.6838856,0.036033876,0.00029385008,0.19795002,0.0048977076,1.0
450000,1.4074649,25.90664272890485,1.9541504,4.531324693333407,4.531324693333407,0.7034829,0.03826278,0.00029354202,0.19784734,0.0048925825,1.0
480000,1.4062828,25.90071556350626,2.012512,4.554112138019668,4.554112138019668,0.6855372,0.036249995,0.00029308023,0.19769344,0.004884901,1.0
510000,1.4059056,26.03974706413731,2.084483,4.701685733602754,4.701685733602754,0.7046298,0.0370072,0.00029261902,0.1975397,0.0048772288,1.0
540000,1.4051573,26.264545454545456,2.1763933,4.914717964773828,4.914717964773828,0.6940782,0.03758008,0.0002921579,0.197386,0.00486956,1.0
570000,1.4044554,26.155656108597285,2.1817238,4.999336594154393,4.999336594154393,0.7032142,0.038240395,0.00029169678,0.19723225,0.00486189,1.0
600000,1.4036686,26.401459854014597,2.3002877,5.135645305783782,5.135645305783782,0.73929274,0.037510104,0.00029123487,0.19707829,0.004854207,1.0
630000,1.4027665,26.83565459610028,2.4304917,5.41419537097271,5.41419537097271,0.8647451,0.041371856,0.0002907739,0.19692464,0.004846539,1.0
660000,1.4014993,26.850510677808728,2.521346,5.488426371260495,5.488426371260495,0.80799466,0.038169786,0.00029031257,0.19677085,0.0048388643,1.0
690000,1.400772,27.611428571428572,2.5595195,5.741929414447482,5.741929414447482,0.9045666,0.04086762,0.00028985142,0.19661713,0.0048311944,1.0
720000,1.3999159,27.66507177033493,2.7390587,5.988867473067162,5.988867473067162,0.9835142,0.0381769,0.00028938983,0.19646329,0.004823518,1.0
750000,1.3986889,27.884504331087584,2.886691,6.288297313010038,6.288297313010038,1.0274034,0.04073558,0.00028892868,0.19630954,0.0048158458,1.0
780000,1.3980877,28.35386119257087,2.9199183,6.412132868678136,6.412132868678136,1.130976,0.039158188,0.00028846727,0.19615576,0.004808172,1.0
