Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
30000,1.4189627,24.081035923141187,0.032585975,1.9118849212758517,1.9118849212758517,1.4184473,0.034645632,0.00029969253,0.19989757,0.004994886,1.0
60000,1.4187108,24.404741744284504,0.1169706,2.1380688507207664,2.1380688507207664,1.1238358,0.025939252,0.00029938485,0.19979492,0.004989768,1.0
90000,1.4181687,24.996539792387544,0.33527187,2.3921880785575977,2.3921880785575977,0.9261373,0.032779917,0.0002989237,0.19964123,0.004982097,1.0
120000,1.4176098,25.134497816593885,0.54293776,2.623756589428071,2.623756589428071,0.8735393,0.02984233,0.00029846226,0.19948739,0.004974423,1.0
150000,1.4163886,25.059843885516045,0.7321067,2.867177045567789,2.867177045567789,0.7733798,0.034127086,0.0002980004,0.19933347,0.0049667396,1.0
180000,1.4153959,25.51547303271441,0.85773283,3.200206387643258,3.200206387643258,0.79861015,0.033424843,0.0002975388,0.1991796,0.004959061,1.0
210000,1.414546,25.413427561837455,1.0399265,3.424249161182521,3.424249161182521,0.7381459,0.035040595,0.0002970778,0.1990259,0.004951393,1.0
240000,1.413425,25.055555555555557,1.1989478,3.5411581726409787,3.5411581726409787,0.65620875,0.035981823,0.00029661666,0.1988722,0.0049437243,1.0
270000,1.4122894,24.820844099913867,1.3322698,3.70443979444274,3.70443979444274,0.68583405,0.0362695,0.0002961544,0.19871812,0.004936035,1.0
300000,1.4113927,24.946273830155977,1.4758753,3.873403285069,3.873403285069,0.67815965,0.034951847,0.0002956928,0.19856422,0.004928356,1.0
330000,1.4105908,25.464726631393297,1.5805655,4.039100275719366,4.039100275719366,0.6627902,0.03747733,0.0002952316,0.19841059,0.0049206847,1.0
360000,1.4100747,25.054782608695653,1.7173562,4.09227475060472,4.09227475060472,0.64963824,0.035565816,0.0002947701,0.19825666,0.0049130083,1.0
390000,1.4096129,25.080756013745706,1.885917,4.363531772154088,4.363531772154088,0.6564288,0.03659324,0.00029430923,0.1981031,0.004905343,1.0
420000,1.4085447,25.48433303491495,1.9070572,4.399436771554012,4.399436771554012,0.6965341,0.035599492,0.0002938478,0.19794928,0.004897668,1.0
450000,1.407566,25.62111801242236,1.9631103,4.515113923093758,4.515113923093758,0.65909994,0.036573388,0.00029353998,0.19784673,0.004892548,1.0
480000,1.4069062,26.1003616636528,2.0449197,4.720404155693726,4.720404155693726,0.73055756,0.035916265,0.00029307837,0.19769281,0.00488487,1.0
510000,1.405782,25.754683318465656,2.1670094,4.9654337005568445,4.9654337005568445,0.70378494,0.03849182,0.0002926169,0.19753894,0.004877194,1.0
540000,1.4049164,25.799107142857142,2.2563326,5.031857994677765,5.031857994677765,0.75458705,0.039460085,0.00029215566,0.19738519,0.0048695216,1.0
570000,1.4043614,26.0297565374211,2.3882475,5.307856514593502,5.307856514593502,0.6752121,0.037170257,0.00029169413,0.19723137,0.0048618466,1.0
600000,1.4037812,26.398537477148082,2.3714523,5.319174347729444,5.319174347729444,0.8189875,0.0373023,0.00029123295,0.19707762,0.0048541743,1.0
630000,1.4031466,27.042095416276894,2.5310042,5.733571925934951,5.733571925934951,0.86395305,0.03954334,0.00029077116,0.19692373,0.004846494,1.0
660000,1.4021648,27.148217636022515,2.6507704,6.000715352413131,6.000715352413131,0.96407163,0.037603557,0.00029030873,0.19676957,0.0048388015,1.0
690000,1.4014369,27.502374169040834,2.6727846,6.159185318781709,6.159185318781709,1.0906867,0.042184565,0.0002898474,0.19661576,0.0048311283,1.0
720000,1.400584,27.8059558117195,2.8464568,6.36760775584441,6.36760775584441,1.194155,0.035852514,0.00028938506,0.1964617,0.004823438,1.0
750000,1.3994222,28.183317167798254,2.9412415,6.596757426510061,6.596757426510061,1.3977075,0.037619937,0.00028892356,0.19630781,0.00481576,1.0
780000,1.3989122,28.476653696498055,3.105949,7.001994475795573,7.001994475795573,1.3870428,0.04030539,0.00028846235,0.19615412,0.004808089,1.0
810000,1.3976895,29.3971340839304,3.2015011,7.2119809205298235,7.2119809205298235,1.8151515,0.040123664,0.00028800024,0.19600007,0.0048004035,1.0
840000,1.397122,29.556122448979593,3.3870556,7.521989770855777,7.521989770855777,1.7854209,0.038188122,0.0002876927,0.19589758,0.004795288,1.0
870000,1.3964933,30.178794178794178,3.57277,7.952960857916275,7.952960857916275,1.9451597,0.038750663,0.00028723176,0.19574389,0.00478762,1.0
900000,1.3953493,31.137486573576798,3.730856,8.353601258603451,8.353601258603451,2.3377995,0.04149376,0.00028677084,0.19559021,0.004779954,1.0
930000,1.3940192,32.088202866593164,3.92816,9.070814818439567,9.070814818439567,3.0202646,0.039950714,0.00028630986,0.19543663,0.004772285,1.0
960000,1.3935609,31.75545851528384,4.045116,9.01437790281908,9.01437790281908,3.2232184,0.040172514,0.00028584886,0.19528294,0.0047646184,1.0
990000,1.3929908,32.971687429218576,4.314786,9.769338053255632,9.769338053255632,3.6144948,0.037260864,0.00028538724,0.1951291,0.0047569405,1.0
